Date,Open,High,Low,Close
2008-01-02,82.16999816894531,82.16999816894531,79.44999694824219,79.9800033569336
2008-01-03,80.3499984741211,80.76000213623047,78.55000305175781,78.80000305175781
2008-01-04,77.88999938964844,77.88999938964844,75.8499984741211,75.8499984741211
2008-01-07,76.5,77.87999725341797,75.55999755859375,76.5
2008-01-08,77.02999877929688,77.02999877929688,72.68000030517578,72.68000030517578
2008-01-09,73.0,74.0199966430664,71.97000122070312,73.83000183105469
2008-01-10,73.41999816894531,76.61000061035156,72.3499984741211,75.02999877929688
2008-01-11,75.02999877929688,76.27999877929688,73.11000061035156,73.75
2008-01-14,71.5,73.52999877929688,71.01000213623047,72.41999816894531
2008-01-15,71.66000366210938,72.86000061035156,70.48999786376953,71.58999633789062
2008-01-16,71.2300033569336,75.44000244140625,71.12000274658203,74.05999755859375
2008-01-17,74.43000030517578,74.43000030517578,72.04000091552734,72.06999969482422
2008-01-18,72.62000274658203,74.66999816894531,72.0999984741211,73.69000244140625
2008-01-22,71.01000213623047,77.37999725341797,70.8499984741211,76.2699966430664
2008-01-23,76.4000015258789,84.70999908447266,73.79000091552734,84.6500015258789
2008-01-24,84.80000305175781,86.41000366210938,83.2699966430664,84.69000244140625
2008-01-25,85.16000366210938,86.0999984741211,82.91000366210938,83.8499984741211
2008-01-28,84.11000061035156,87.05000305175781,82.58999633789062,87.05000305175781
2008-01-29,87.0,88.37999725341797,85.44000244140625,87.93000030517578
2008-01-30,87.8499984741211,90.81999969482422,86.19000244140625,87.6500015258789
2008-01-31,86.0,92.26000213623047,85.16999816894531,91.27999877929688
2008-02-01,91.0999984741211,94.02999877929688,90.7300033569336,94.02999877929688
2008-02-04,92.91000366210938,93.66000366210938,89.66000366210938,90.05999755859375
2008-02-05,88.11000061035156,90.0,87.44000244140625,88.54000091552734
2008-02-06,89.43000030517578,90.75,87.70999908447266,88.44000244140625
2008-02-07,88.2300033569336,90.4000015258789,87.80000305175781,89.62000274658203
2008-02-08,88.7699966430664,90.27999877929688,87.11000061035156,88.88999938964844
2008-02-11,88.9000015258789,88.9000015258789,86.66999816894531,87.3499984741211
2008-02-12,88.0999984741211,89.41000366210938,86.7300033569336,88.02999877929688
2008-02-13,88.75,89.19000244140625,86.0,88.20999908447266
2008-02-14,88.20999908447266,88.30999755859375,85.91999816894531,86.41999816894531
2008-02-15,87.05000305175781,88.58000183105469,85.7699966430664,88.4000015258789
2008-02-19,89.1500015258789,89.62000274658203,85.37000274658203,85.80000305175781
2008-02-20,84.94000244140625,87.98999786376953,84.33999633789062,87.47000122070312
2008-02-21,87.5,88.16999816894531,84.91999816894531,84.91999816894531
2008-02-22,85.19999694824219,87.68000030517578,83.56999969482422,86.88999938964844
2008-02-25,85.83000183105469,87.87999725341797,85.31999969482422,87.36000061035156
2008-02-26,86.87000274658203,88.69999694824219,86.45999908447266,87.52999877929688
2008-02-27,86.36000061035156,88.79000091552734,85.98999786376953,87.12999725341797
2008-02-28,86.44000244140625,86.44000244140625,84.23999786376953,84.23999786376953
2008-02-29,83.27999877929688,83.86000061035156,81.6500015258789,82.08000183105469
2008-03-03,81.9000015258789,82.45999908447266,79.47000122070312,80.16000366210938
2008-03-04,79.26000213623047,79.91999816894531,77.43000030517578,79.4000015258789
